"Time","CPU Cost","Memory Cost"
2024-08-07 21:01:00,$0.0443,$0.0059
2024-08-07 21:01:15,$0.0443,$0.0059
2024-08-07 21:01:30,$0.0443,$0.0059
2024-08-07 21:01:45,$0.0443,$0.0059
2024-08-07 21:02:00,$0.0443,$0.0059
2024-08-07 21:02:15,$0.0443,$0.0059
2024-08-07 21:02:30,$0.0443,$0.0059
2024-08-07 21:02:45,$0.0443,$0.0059
2024-08-07 21:03:00,$0.0443,$0.0059
2024-08-07 21:03:15,$0.0443,$0.0059
2024-08-07 21:03:30,$0.0443,$0.0059
2024-08-07 21:03:45,$0.0443,$0.0059
2024-08-07 21:04:00,$0.0443,$0.0059
2024-08-07 21:04:15,$0.0443,$0.0059
2024-08-07 21:04:30,$0.0443,$0.0059
2024-08-07 21:04:45,$0.0443,$0.0059
2024-08-07 21:05:00,$0.0443,$0.0059
2024-08-07 21:05:15,$0.0443,$0.0059
2024-08-07 21:05:30,$0.0443,$0.0059
2024-08-07 21:05:45,$0.0443,$0.0059
2024-08-07 21:06:00,$0.0443,$0.0059
2024-08-07 21:06:15,$0.0443,$0.0059
2024-08-07 21:06:30,$0.0443,$0.0059
2024-08-07 21:06:45,$0.0443,$0.0059
2024-08-07 21:07:00,$0.0443,$0.0059
2024-08-07 21:07:15,$0.0443,$0.0059
2024-08-07 21:07:30,$0.0443,$0.0059
2024-08-07 21:07:45,$0.0443,$0.0059
2024-08-07 21:08:00,$0.0443,$0.0059
2024-08-07 21:08:15,$0.0443,$0.0059
